,No,gross,budget,aspect_ratio,title_year,director_name,actor_1_name,actor_2_name,actor_3_name,color,duration,language
3643,0046672,1915396.0,9000000.0,2.35 : 1 (35 mm ratio),1954.0,Richard Fleischer,Kirk Douglas,James Mason,Paul Lukas,Color::(Technicolor),127,English
3644,2473682,90904854.0,5000000.0,1.78 : 1,2014.0,Christopher Landon,Andrew Jacobs,Jorge Diaz,Gabrielle Walsh,Color,84,English
3645,0080678,,5000000.0,2.35 : 1,1980.0,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,Black and White,124,English
3646,0790636,55198285.0,5000000.0,2.35 : 1,2013.0,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Color,117,English
3647,2918436,,3300000.0,2.35 : 1,2015.0,David Gelb,Mark Duplass,Olivia Wilde,Sarah Bolger,Color,83,English
3648,0209144,39723096.0,9000000.0,2.39 : 1,2000.0,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Color,113,English
3649,2388715,41327693.0,5000000.0,2.35 : 1,2013.0,Mike Flanagan,Karen Gillan,Brenton Thwaites,Katee Sackhoff,Color,104,English
3650,0424345,3194178.0,5000000.0,1.85 : 1,2006.0,Kevin Smith,Brian O'Halloran,Jeff Anderson,Jason Mewes,Color,97,English
3651,0249462,109280263.0,5000000.0,1.85 : 1,2000.0,Stephen Daldry,Jamie Bell,Jean Heywood,Jamie Draven,Color,110,English
3652,1727388,,5000000.0,1.85 : 1,2013.0,Nat Faxon,Steve Carell,Toni Collette,Allison Janney,Color,103,English
3653,0102065,,5000000.0,1.85 : 1,1991.0,George Jackson,Christopher Reid,Christopher Martin,Martin Lawrence,Color,94,English
3654,0084296,,3500000.0,2.35 : 1,1982.0,George Miller,Tom Burlinson,Terence Donovan,Kirk Douglas,Color::(Eastmancolor),102,English
3655,0187819,,5000000.0,1.66 : 1 (negative ratio),1999.0,Maurice Joyce,Thomas McHugh,Fred Newman,Chris Phillips,Color,77,English
3656,0118632,,5000000.0,1.85 : 1,1997.0,Robert Duvall,Todd Allen,Paul Bagget,Lenore Banks,Color,134,English
3657,0082766,25032261.0,5000000.0,1.85 : 1,1981.0,Frank Perry,Faye Dunaway,Diana Scarwid,Steve Forrest,Color::(Metrocolor),129,English
3658,1637706,,5000000.0,1.85 : 1,2011.0,Jesse Peretz,Paul Rudd,Nick Sullivan,Francesca Papalia,Color,90,English
3659,3499096,,35000000.0,2.35 : 1,2016.0,Stephen Hopkins,Stephan James,Jason Sudeikis,Eli Goree,Color,134,English
3660,0119905,,4500000.0,1.85 : 1,1998.0,Ice Cube,LisaRaye McCoy,Dick Anthony Williams,Judyann Elder,Color,104,English
3661,2870612,,5000000.0,1.85 : 1,2014.0,John Erick Dowdle,Perdita Weeks,Ben Feldman,Edwin Hodge,Color,93,English
3662,2205401,,5000000.0,1.85 : 1,2014.0,Bille Woodruff,Boris Kodjoe,Brandon Gonzales,Cameron Mills,Color,106,English
3663,0119080,,6000000.0,1.85 : 1,1997.0,Kasi Lemmons,Jurnee Smollett,Meagan Good,Lynn Whitfield,Color,109,English
3664,3316960,43884652.0,5000000.0,1.85 : 1,2014.0,Richard Glatzer,Julianne Moore,Kate Bosworth,Shane McRae,Color,101,English
3665,0046949,,5000000.0,2.55 : 1,1954.0,Michael Curtiz,Jean Simmons,Victor Mature,Gene Tierney,Color::(Color by Deluxe),139,English
3666,0082817,,5000000.0,1.85 : 1,1981.0,Bruce Malmuth,Sylvester Stallone,Billy Dee Williams,Lindsay Wagner,Color,99,English
3667,0097388,,5000000.0,1.37 : 1,1989.0,Rob Hedden,Jensen Daggett,Scott Reeves,Tim Mirkovich,Color::(Technicolor),100,English
3668,0259446,368744044.0,5000000.0,1.85 : 1,2002.0,Joel Zwick,Nia Vardalos,Michael Constantine,Christina Eleusiniotis,Color,95,English
3669,2101441,,5000000.0,2.35 : 1,2012.0,Harmony Korine,James Franco,Selena Gomez,Vanessa Hudgens,Color,94,English
3670,0113253,,5000000.0,1.85 : 1,1995.0,Joe Chappelle,Donald Pleasence,Paul Rudd,Marianne Hagan,Color,87,English
3671,0245574,,2000000.0,1.85 : 1,2001.0,Alfonso Cuarón,Daniel Giménez Cacho,Ana López Mercado,Diego Luna,Color,106,Spanish
3672,0365748,30039392.0,,1.78 : 1 (negative ratio),2004.0,Edgar Wright,Simon Pegg,Kate Ashfield,Nick Frost,Color,99,English
3673,1045655,,5000000.0,1.85 : 1,2008.0,Mickey Liddell,Haley Bennett,Jake Weber,Chace Crawford,Color,85,English
3674,0116905,,5000000.0,2.35 : 1,1996.0,John Sayles,Stephen Mendillo,Stephen J. Lang,Chris Cooper,Color,135,English
3675,0095271,,5000000.0,1.85 : 1,1988.0,Dwight H. Little,Donald Pleasence,Ellie Cornell,Danielle Harris,Color,88,English
3676,0090655,,5000000.0,2.35 : 1,1986.0,Fred Walton,Jay Baker,Pat Barlow,Lloyd Berry,Color::(Metrocolor),89,English
3677,0083833,,5000000.0,1.85 : 1,1982.0,Barry Levinson,Steve Guttenberg,Daniel Stern,Mickey Rourke,Color,110,English
3678,0085862,,5000000.0,1.85 : 1,1983.0,Steve Carver,Chuck Norris,David Carradine,Barbara Carrera,Color,107,English
3679,1772240,25562924.0,5000000.0,1.33 : 1,2011.0,Gonzalo López-Gallego,Warren Christie,Lloyd Owen,Ryan Robbins,Color,86,English
3680,0862846,16174377.0,8000000.0,2.35 : 1,2008.0,Christine Jeffs,Amy Adams,Emily Blunt,Alan Arkin,Color,91,English
3681,1781922,,16200000.0,1.85 : 1,2015.0,John Erick Dowdle,Owen Wilson,Lake Bell,Sterling Jerins,Color,103,Khmer
3682,0083630,,8000000.0,1.85 : 1,1982.0,Don Coscarelli,Marc Singer,Tanya Roberts,Rip Torn,Color,118,English
3683,0053290,,5000000.0,2.20 : 1,1959.0,King Vidor,Yul Brynner,Gina Lollobrigida,George Sanders,Color,141,English
3684,4667094,22227514.0,5000000.0,2.35 : 1,2016.0,Michael Tiddes,Marlon Wayans,Kali Hawk,Fred Willard,Color,92,English
3685,0795438,,8000000.0,1.85 : 1,2009.0,Bill Duke,Morris Chestnut,Taraji P. Henson,Maeve Quinlan,Color,99,English
3686,0022879,,799520.0,1.37 : 1,1932.0,Frank Borzage,Helen Hayes,Gary Cooper,Adolphe Menjou,Black and White,80,English
3687,4871980,,5000000.0,,2016.0,Bille Woodruff,Terrence Jenkins,Cassie Ventura,Donald Faison,Color,96,English
